Timestamp,Age ,Level of education,Time Spent,Most used platform,Main activity,Positive enhancement,Checks social media,Frequency of Procrastination,Social media Breaks,Duration of Breaks,Affects academic performance,Good balance between social media use and academic responsibilities,Experience guilt,Strategies used,Tools to manage,Suggestions to manage time
7/23/2024 21:55:22,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Strongly agree,Often,Sometimes,Always,20-30 minutes,Moderately,Disagree,Always,Turning off notifications,Always,Do not distrub 
7/24/2024 11:29:04,15-18,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Often,Sometimes,Often,20-30 minutes,Slightly,Neutral,Sometimes,Using productivity apps,Never,An efficient and interesting app to limit my time on social media 
7/24/2024 12:38:46,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Neutral,Sometimes,Often,Always,20-30 minutes,Significantly,Disagree,Often,Turning off notifications,Never,App locking system after a particular amount of usage 
7/24/2024 19:34:32,15-18,High school,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Often,5-10 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,A app with Time limit notifications 
7/24/2024 19:41:55,15-18,High school,1-2 hours,Instagram,Social networking,Neutral,Rarely,Rarely,Often,5-10 minutes,Slightly,Neutral,Rarely,Setting time limits,Never,A app with screen timer settings
7/24/2024 19:46:15,15-18,High school,5-6 hours,Instagram,Watching videos,Disagree,Always,Sometimes,Sometimes,More than 30 minutes,Extremely,Strongly disagree,Sometimes,Turning off notifications,Never,Study 
7/24/2024 19:52:09,15-18,High school,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Often,20-30 minutes,Moderately,Neutral,Sometimes,Setting time limits,Sometimes,Time limites
7/24/2024 20:04:54,15-18,High school,3-4 hours,YouTube,Watching videos,Strongly disagree,Often,Often,Never,Less than 5 minutes,Significantly,Disagree,Sometimes,Setting time limits,Never,Automatic app lock 
7/24/2024 20:12:17,18-22,High school,1-2 hours,Instagram,Browsing and updating posts,Agree,Sometimes,Sometimes,Always,10-20 minutes,Not at all,Neutral,Rarely,Turning off notifications,Never,time limits and work reminders 
7/24/2024 20:12:27,15-18,High school,1-2 hours,Instagram,Watching videos,Strongly disagree,Sometimes,Rarely,Sometimes,More than 30 minutes,Moderately,Strongly agree,Always,Setting time limits,Never,Reducing the school timing
7/24/2024 20:14:48,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Strongly agree,Sometimes,Sometimes,Often,More than 30 minutes,Significantly,Neutral,Often,Setting time limits,Rarely,Allow users to personalize settings according to their needs.
7/24/2024 20:16:55,15-18,High school,1-2 hours,Instagram,Watching videos,Neutral,Often,Often,Sometimes,More than 30 minutes,Significantly,Agree,Rarely,Setting time limits,Sometimes,I set my screen timer 
7/24/2024 20:27:33,15-18,High school,1-2 hours,Instagram,Watching videos,Neutral,Often,Sometimes,Rarely,20-30 minutes,Slightly,Neutral,Often,Setting time limits,Sometimes,Setting time limits
7/24/2024 20:31:38,Under 15,High school,3-4 hours,Instagram,Watching videos,Neutral,Rarely,Rarely,Sometimes,5-10 minutes,Slightly,Agree,Sometimes,Turning off notifications,Never,Parental control 
7/24/2024 20:38:04,15-18,High school,Less than 1 hour,YouTube,Watching videos,Disagree,Rarely,Never,Sometimes,Less than 5 minutes,Moderately,Strongly agree,Rarely,Setting time limits,Rarely,"Spending with my pets or brother!
"
7/24/2024 20:41:32,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Sometimes,Rarely,Sometimes,20-30 minutes,Slightly,Agree,Sometimes,Deleting and locking apps,Never,"A tool which not nly gives the notification when our screen time exits but it should rather not allow us to use , maybe like the app shouldn't work for the next few hours if the time exceeds."
7/24/2024 20:41:51,18-22,High school,1-2 hours,Instagram,Watching videos,Agree,Rarely,Never,Sometimes,10-20 minutes,Slightly,Neutral,Sometimes,Using productivity apps,Never,Timer
7/24/2024 20:43:05,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Neutral,Often,Always,Rarely,More than 30 minutes,Extremely,Disagree,Sometimes,Setting time limits,Sometimes,APP LIMIT 
7/24/2024 20:44:04,15-18,Undergraduate,1-2 hours,Instagram,Browsing and updating posts,Neutral,Sometimes,Sometimes,Often,10-20 minutes,Slightly,Agree,Rarely,Using productivity apps,Never,I don't have any idea 
7/24/2024 20:47:18,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Sometimes,Sometimes,Sometimes,10-20 minutes,Moderately,Neutral,Sometimes,Deleting and locking apps,Sometimes,-
7/24/2024 20:51:09,18-22,Undergraduate,Less than 1 hour,YouTube,Watching videos,Agree,Often,Rarely,Always,10-20 minutes,Extremely,Neutral,Rarely,Turning off notifications,Never,Deleting the app 🤷‍♂️
7/24/2024 20:51:39,15-18,High school,1-2 hours,Instagram,Watching videos,Neutral,Sometimes,Sometimes,Often,More than 30 minutes,Moderately,Neutral,Always,Setting time limits,Often,"
Scheduled Downtime : Block access to social media during specific times (e.g., work hours, study periods, or bedtime)."
7/24/2024 20:52:36,15-18,High school,Less than 1 hour,Instagram,Watching videos,Agree,Sometimes,Rarely,Often,5-10 minutes,Not at all,Strongly agree,Never,Setting time limits,Never,Setting time limit for every app
7/24/2024 20:58:19,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Often,Sometimes,Always,More than 30 minutes,Significantly,Neutral,Sometimes,Setting time limits,Rarely,self control
7/24/2024 21:02:58,18-22,Undergraduate,5-6 hours,YouTube,Watching videos,Agree,Often,Sometimes,Always,More than 30 minutes,Slightly,Neutral,Rarely,Setting time limits,Never,Alarm 
7/24/2024 21:02:58,15-18,Undergraduate,1-2 hours,Instagram,Browsing and updating posts,Neutral,Often,Sometimes,Sometimes,10-20 minutes,Moderately,Neutral,Always,Turning off notifications,Never,It would be needful if I can spend less time in social media maybe lock 
7/24/2024 21:05:02,18-22,Undergraduate,1-2 hours,Instagram,Browsing and updating posts,Neutral,Sometimes,Sometimes,Rarely,More than 30 minutes,Moderately,Neutral,Rarely,Deleting and locking apps,Rarely,Time limit
7/24/2024 21:05:38,Under 15,High school,1-2 hours,Instagram,Watching videos,Neutral,Sometimes,Rarely,Sometimes,20-30 minutes,Significantly,Strongly agree,Sometimes,Deleting and locking apps,Always,By time management 
7/24/2024 21:05:48,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Often,Often,Always,More than 30 minutes,Moderately,Disagree,Always,Turning off notifications,Never,Apps shutting off on the time likely 10-15mins
7/24/2024 21:06:51,18-22,Undergraduate,3-4 hours,Instagram,Browsing and updating posts,Disagree,Often,Often,Sometimes,More than 30 minutes,Significantly,Disagree,Always,Turning off notifications,Often,Hide the app(freeze) until a certain time. 
7/24/2024 21:09:28,15-18,Undergraduate,1-2 hours,Instagram,Social networking,Agree,Rarely,Never,Sometimes,Less than 5 minutes,Slightly,Neutral,Never,Setting time limits,Never,.
7/24/2024 21:10:06,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Strongly agree,Sometimes,Sometimes,Often,More than 30 minutes,Moderately,Agree,Always,Setting time limits,Never,Switch off the phone when you spend more than a specific time on social media 
7/24/2024 21:10:52,18-22,Undergraduate,1-2 hours,LinkedIn,Social networking,Neutral,Rarely,Rarely,Rarely,Less than 5 minutes,Not at all,Agree,Rarely,Turning off notifications,Rarely,Nil
